"Reporter Name"	"MX_NE_rawData_r1"	"MX_NE_rawData_r2"
"tcruzi-39216"	74.43	88.1
"tcruzi-39860"	191.93	254.68
"tcruzi-40101"	239.26	152.34
"tcruzi-40353"	158.98	408.99
"tcruzi-40405"	218.76	350.49
"tcruzi-42465"	158.51	161.98
"tcruzi-43795"	406.18	927.43
"tcruzi-43847"	101.49	227.04
"tcruzi-45055"	98.81	93.5
"tcruzi-45274"	122.66	146.4
"tcruzi-46089"	80.94	170.36
"tcruzi-47363"	7618.45	8671.17
"tcruzi-47364"	7401.13	9383.27
"tcruzi-47365"	9185.83	9483.08
"tcruzi-47367"	3728.91	3779.12
"tcruzi-47368"	3831.93	3756.76
"tcruzi-47379"	1868	1238.35
"tcruzi-48560"	175.05	281.4
"tcruzi-49733"	61.47	146.18
"tcruzi-49734"	197.06	402.61
"tcruzi-49967"	92.55	195.99
"tcruzi-50169"	112.22	216.26
"tcruzi-52591"	161.53	290.25
"tcruzi-52708"	75.29	87.91
"tcruzi-53523"	141.89	232.08
"tcruzi-53827"	46.39	55.46
"tcruzi-54198"	426.03	387.7
"tcruzi-55058"	105.87	124.96
"tcruzi-56112"	135.08	313.45
"tcruzi-56254"	1363.23	1853.32
"tcruzi-58173"	133	430.9
"tcruzi-58355"	119.88	196.03
"tcruzi-59587"	233.67	337.77
"tcruzi-61024"	208.32	213.37
"tcruzi-61084"	176.95	340.64
"tcruzi-62969"	1035.32	1323.44
"tcruzi-62994"	199.48	322.57
"tcruzi-65336"	101.61	120.16
"tcruzi-67123"	485.19	1412.65
